# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     0.00%  postgres  postgres              [.] HeapTupleSatisfiesMVCC                     postgres              [.] HeapTupleHeaderGetCmax                   
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_mark_inode_dirty                      [kernel.kallsyms]     [k] ext4_reserve_inode_write                 
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] smgrGetPendingDeletes                    
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_RelationMap                     
     0.00%  postgres  postgres              [.] AssignTransactionId                        postgres              [.] XactLockTableInsert                      
     0.00%  postgres  [kernel.kallsyms]     [k] queue_work                                 [kernel.kallsyms]     [k] queue_work_on                            
     0.00%  postgres  [kernel.kallsyms]     [k] rebalance_domains                          [kernel.kallsyms]     [k] update_shares                            
     0.00%  postgres  [kernel.kallsyms]     [.] __mnt_want_write_file                      [kernel.kallsyms]     [.] mnt_clone_write                          
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_reserve_inode_write                   [kernel.kallsyms]     [k] ext4_get_inode_loc                       
     0.00%  postgres  [kernel.kallsyms]     [k] jbd2_log_start_commit                      [kernel.kallsyms]     [k] __jbd2_log_start_commit                  
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_GUC                             
     0.00%  postgres  postgres              [.] LookupExplicitNamespace                    postgres              [.] get_namespace_oid                        
     0.00%  postgres  [kernel.kallsyms]     [k] blk_start_request                          [kernel.kallsyms]     [k] blk_add_timer                            
     0.00%  postgres  [kernel.kallsyms]     [k] clone_bio.isra.17                          [kernel.kallsyms]     [k] __bio_clone                              
     0.00%  postgres  [dm_crypt]            [k] crypt_map                                  [kernel.kallsyms]     [k] queue_work                               
     0.00%  postgres  postgres              [k] XLogWrite                                  postgres              [k] __errno_location@plt                     
     0.00%  postgres  postgres              [.] create_result_path                         postgres              [.] MemoryContextAllocZeroAligned            
     0.00%  postgres  postgres              [.] ResourceOwnerReleaseInternal               postgres              [.] ProcReleaseLocks                         
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_bio_write_page                        [kernel.kallsyms]     [k] bio_get_nr_vecs                          
     0.00%  postgres  [kernel.kallsyms]     [k] jbd2_log_wait_commit                       [kernel.kallsyms]     [k] _raw_read_lock                           
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_Namespace                       
     0.00%  postgres  postgres              [.] FuncnameGetCandidates                      postgres              [.] MemoryContextAlloc                       
     0.00%  postgres  postgres              [.] GetNewTransactionId                        postgres              [.] ExtendSUBTRANS                           
     0.00%  postgres  postgres              [.] GetNewTransactionId                        postgres              [.] LWLockRelease                            
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_LargeObject                     
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] AllocSetContextCreate                    
     0.00%  postgres  postgres              [.] FuncnameGetCandidates                      postgres              [.] DeconstructQualifiedName                 
     0.00%  postgres  [kernel.kallsyms]     [k] filemap_fdatawait_range                    [kernel.kallsyms]     [k] _cond_resched                            
     0.00%  postgres  [kernel.kallsyms]     [k] __generic_file_aio_write                   [kernel.kallsyms]     [k] generic_segment_checks                   
     0.00%  postgres  postgres              [.] AssignTransactionId                        postgres              [.] __sigsetjmp@plt                          
     0.00%  postgres  [kernel.kallsyms]     [k] __generic_file_aio_write                   [kernel.kallsyms]     [k] file_update_time                         
     0.00%  postgres  [kernel.kallsyms]     [.] file_update_time                           [kernel.kallsyms]     [.] update_time                              
     0.00%  postgres  [kernel.kallsyms]     [k] write_cache_pages_da                       [kernel.kallsyms]     [k] __pagevec_release                        
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] PreCommit_Notify                         
     0.00%  postgres  postgres              [.] ExecResult                                 postgres              [.] ExecProject                              
     0.00%  postgres  [kernel.kallsyms]     [k] get_request                                [kernel.kallsyms]     [k] elv_may_queue                            
     0.00%  postgres  [kernel.kallsyms]     [k] io_schedule                                [kernel.kallsyms]     [k] schedule                                 
     0.00%  postgres  postgres              [.] ProcReleaseLocks                           postgres              [.] LockWaitCancel                           
     0.00%  postgres  [kernel.kallsyms]     [k] __do_softirq                               [kernel.kallsyms]     [k] run_rebalance_domains                    
     0.00%  postgres  [kernel.kallsyms]     [.] mnt_clone_write                            [kernel.kallsyms]     [.] __mnt_is_readonly                        
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_dirty_inode                           [kernel.kallsyms]     [k] ext4_mark_inode_dirty                    
     0.00%  postgres  postgres              [.] query_planner                              postgres              [.] create_result_path                       
     0.00%  postgres  postgres              [.] heap_insert                                postgres              [.] UnlockReleaseBuffer                      
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] ShowTransactionState                     
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] RecoveryInProgress                       
     0.00%  postgres  [kernel.kallsyms]     [k] retint_careful                             [kernel.kallsyms]     [k] schedule                                 
     0.00%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] now                                      
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] PopActiveSnapshot                        
     0.00%  postgres  [kernel.kallsyms]     [k] jbd2_log_start_commit                      [kernel.kallsyms]     [k] _raw_write_lock                          
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_request_fn                            [kernel.kallsyms]     [k] blk_start_request                        
     0.00%  postgres  postgres              [.] FigureColname                              postgres              [.] FigureColnameInternal                    
     0.00%  postgres  postgres              [.] AtEOXact_Inval                             postgres              [.] ProcessInvalidationMessagesMulti         
     0.00%  postgres  [kernel.kallsyms]     [k] __cond_resched                             [kernel.kallsyms]     [k] __schedule                               
     0.00%  postgres  [kernel.kallsyms]     [k] delayacct_end                              [kernel.kallsyms]     [k] set_normalized_timespec                  
     0.00%  postgres  [kernel.kallsyms]     [k] __ext4_get_inode_loc                       [kernel.kallsyms]     [k] ext4_get_group_desc                      
     0.00%  postgres  [kernel.kallsyms]     [k] io_schedule                                [kernel.kallsyms]     [k] __delayacct_blkio_end                    
     0.00%  postgres  postgres              [.] timestamp2tm                               postgres              [.] j2date                                   
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_request_fn                            [kernel.kallsyms]     [k] _raw_spin_lock                           
     0.00%  postgres  postgres              [.] AssignTransactionId                        postgres              [.] RegisterPredicateLockingXid              
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] pgstat_report_xact_timestamp             
     0.00%  postgres  postgres              [.] build_physical_tlist                       postgres              [.] heap_open                                
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_bio_write_page                        [kernel.kallsyms]     [k] bio_alloc_bioset                         
     0.00%  postgres  postgres              [.] transformTargetEntry                       postgres              [.] FigureColname                            
     0.00%  postgres  [kernel.kallsyms]     [k] vfs_write                                  [kernel.kallsyms]     [k] do_sync_write                            
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_sync_file                             [kernel.kallsyms]     [k] jbd2_trans_will_send_data_barrier        
     0.00%  postgres  [kernel.kallsyms]     [k] blk_add_timer                              [kernel.kallsyms]     [k] __list_add                               
     0.00%  postgres  [kernel.kallsyms]     [k] load_balance                               [kernel.kallsyms]     [k] cpumask_clear_cpu                        
     0.00%  postgres  [kernel.kallsyms]     [k] selinux_file_permission                    [kernel.kallsyms]     [k] avc_policy_seqno                         
     0.00%  postgres  [kernel.kallsyms]     [k] _cond_resched                              [kernel.kallsyms]     [k] __cond_resched                           
     0.00%  postgres  postgres              [.] create_plan_recurse                        postgres              [.] build_physical_tlist                     
     0.00%  postgres  postgres              [k] LWLockAcquire                              postgres              [k] s_lock                                   
     0.00%  postgres  [kernel.kallsyms]     [k] delayacct_end                              [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.00%  postgres  [kernel.kallsyms]     [.] file_update_time                           [kernel.kallsyms]     [.] __mnt_drop_write_file                    
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] XLogInsert                               
     0.00%  postgres  postgres              [.] markTargetListOrigins                      postgres              [.] GetRTEByRangeTablePosn                   
     0.00%  postgres  [kernel.kallsyms]     [k] get_request                                [kernel.kallsyms]     [k] blk_rq_init                              
     0.00%  postgres  postgres              [.] PortalSetResultFormat                      postgres              [.] MemoryContextAlloc                       
     0.00%  postgres  [kernel.kallsyms]     [k] blk_dequeue_request                        [kernel.kallsyms]     [k] __list_del_entry                         
     0.00%  postgres  [kernel.kallsyms]     [k] blk_add_timer                              [kernel.kallsyms]     [k] round_jiffies_up                         
     0.00%  postgres  postgres              [.] heap_insert                                postgres              [.] CacheInvalidateHeapTuple                 
     0.00%  postgres  postgres              [.] ExecModifyTable                            postgres              [.] ExecBSInsertTriggers                     
     0.00%  postgres  postgres              [.] PortalRun                                  postgres              [.] PortalRunSelect                          
     0.00%  postgres  postgres              [.] timestamp2tm                               postgres              [.] pg_localtime                             
     0.00%  postgres  [kernel.kallsyms]     [k] delayacct_end                              [kernel.kallsyms]     [k] ktime_get_ts                             
     0.00%  postgres  [kernel.kallsyms]     [k] do_sync_write                              [kernel.kallsyms]     [k] ext4_file_write                          
     0.00%  postgres  [kernel.kallsyms]     [k] __sb_start_write                           [kernel.kallsyms]     [k] __percpu_counter_add                     
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_sync_file                             [kernel.kallsyms]     [k] jbd2_log_wait_commit                     
     0.00%  postgres  [kernel.kallsyms]     [k] jbd2_trans_will_send_data_barrier          [kernel.kallsyms]     [k] _raw_read_lock                           
     0.00%  postgres  [kernel.kallsyms]     [k] blk_start_request                          [kernel.kallsyms]     [k] blk_dequeue_request                      
     0.00%  postgres  [kernel.kallsyms]     [k] __split_and_process_bio                    [kernel.kallsyms]     [k] clone_bio.isra.17                        
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_CatCache                        
     0.00%  postgres  postgres              [.] transformStmt                              postgres              [.] markTargetListOrigins                    
     0.00%  postgres  [kernel.kallsyms]     [k] trigger_load_balance                       [kernel.kallsyms]     [k] raise_softirq                            
     0.00%  postgres  postgres              [k] XLogWrite                                  postgres              [k] lseek@plt                                
     0.00%  postgres  [kernel.kallsyms]     [k] delayacct_end                              [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore              
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] smgrDoPendingDeletes                     
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] GetTransactionSnapshot                   
     0.00%  postgres  [kernel.kallsyms]     [k] run_rebalance_domains                      [kernel.kallsyms]     [k] rebalance_domains                        
     0.00%  postgres  [kernel.kallsyms]     [k] __delayacct_blkio_end                      [kernel.kallsyms]     [k] delayacct_end                            
     0.00%  postgres  [kernel.kallsyms]     [k] blkdev_issue_flush                         [kernel.kallsyms]     [k] bio_alloc_bioset                         
     0.00%  postgres  postgres              [.] smgrDoPendingDeletes                       postgres              [.] GetCurrentTransactionNestLevel           
     0.00%  postgres  postgres              [.] ParseFuncOrColumn                          postgres              [.] enforce_generic_type_consistency         
     0.00%  postgres  postgres              [.] ParseFuncOrColumn                          postgres              [.] MemoryContextAllocZeroAligned            
     0.00%  postgres  postgres              [.] ExecEvalFuncArgs                           postgres              [.] ExecEvalFunc                             
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] PushActiveSnapshot                       
     0.00%  postgres  [kernel.kallsyms]     [k] pagevec_lookup                             [kernel.kallsyms]     [k] find_get_pages                           
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_request_fn                            [kernel.kallsyms]     [k] scsi_dispatch_cmd                        
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] AfterTriggerBeginXact                    
     0.00%  postgres  [kernel.kallsyms]     [k] __wait_on_bit                              [kernel.kallsyms]     [k] finish_wait                              
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] GetUserIdAndSecContext                   
     0.00%  postgres  postgres              [.] can_coerce_type                            postgres              [.] find_coercion_pathway                    
     0.00%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] timestamptz_timestamp                    
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_file_write                            [kernel.kallsyms]     [k] generic_file_aio_write                   
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_sync_file                             [kernel.kallsyms]     [k] blkdev_issue_flush                       
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_request_fn                            [kernel.kallsyms]     [k] scsi_init_cmd_errh                       
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] PreCommit_CheckForSerializationFailure   
     0.00%  postgres  postgres              [.] ResourceOwnerEnlargeCatCacheListRefs       postgres              [.] MemoryContextAlloc                       
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] GetCurrentTimestamp                      
     0.00%  postgres  postgres              [.] PostgresMain                               postgres              [.] pgstat_report_stat                       
     0.00%  postgres  [kernel.kallsyms]     [k] __generic_file_aio_write                   [kernel.kallsyms]     [k] file_remove_suid                         
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] AcceptInvalidationMessages               
     0.00%  postgres  postgres              [.] func_get_detail                            postgres              [.] ReleaseSysCache                          
     0.00%  postgres  [kernel.kallsyms]     [k] generic_file_aio_write                     [kernel.kallsyms]     [k] __sb_start_write                         
     0.00%  postgres  postgres              [.] timestamptz_timestamp                      postgres              [.] timestamp2tm                             
     0.00%  postgres  postgres              [.] AtStart_Inval                              postgres              [.] MemoryContextAllocZero                   
     0.00%  postgres  [kernel.kallsyms]     [k] load_balance                               [kernel.kallsyms]     [k] __bitmap_empty                           
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_init_io_end                           [kernel.kallsyms]     [k] kmem_cache_alloc                         
     0.00%  postgres  [kernel.kallsyms]     [k] cfq_may_queue                              [kernel.kallsyms]     [k] cfq_init_prio_data.isra.94               
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_dispatch_cmd                          [kernel.kallsyms]     [k] scsi_log_send                            
     0.00%  postgres  postgres              [.] printtup_prepare_info                      postgres              [.] fmgr_info                                
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] ResourceOwnerCreate                      
     0.00%  postgres  postgres              [.] PortalCleanup                              postgres              [.] ExecutorFinish                           
     0.00%  postgres  postgres              [.] standard_ProcessUtility                    postgres              [.] EndTransactionBlock                      
     0.00%  postgres  postgres              [.] heap_insert                                postgres              [.] pgstat_count_heap_insert                 
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] GetActiveSnapshot                        
     0.00%  postgres  [kernel.kallsyms]     [k] generic_file_aio_write                     [kernel.kallsyms]     [k] mutex_lock                               
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_io_submit                             [kernel.kallsyms]     [k] bio_put                                  
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_dispatch_cmd                          [kernel.kallsyms]     [k] ata_scsi_queuecmd                        
     0.00%  postgres  postgres              [.] printtup                                   postgres              [.] slot_getallattrs                         
     0.00%  postgres  postgres              [.] printtup                                   postgres              [.] pq_beginmessage                          
     0.00%  postgres  postgres              [.] printtup                                   postgres              [.] OutputFunctionCall                       
     0.00%  postgres  postgres              [.] PostgresMain                               postgres              [.] ProcessCompletedNotifies                 
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_sync_file                             [kernel.kallsyms]     [k] jbd2_log_start_commit                    
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_get_command                           [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.00%  postgres  [kernel.kallsyms]     [k] __map_bio                                  [kernel.kallsyms]     [k] linear_map                               
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_MultiXact                       
     0.00%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] rangeTableEntry_used_walker              
     0.00%  postgres  postgres              [.] query_tree_walker                          postgres              [.] rangeTableEntry_used_walker              
     0.00%  postgres  postgres              [.] pgstat_count_heap_insert                   postgres              [.] GetCurrentTransactionNestLevel           
     0.00%  postgres  [kernel.kallsyms]     [k] filemap_fdatawait_range                    [kernel.kallsyms]     [k] __pagevec_release                        
     0.00%  postgres  [kernel.kallsyms]     [k] do_fsync                                   [kernel.kallsyms]     [k] ext4_sync_file                           
     0.00%  postgres  postgres              [.] ParseFuncOrColumn                          postgres              [.] make_fn_arguments                        
     0.00%  postgres  postgres              [.] OutputFunctionCall                         postgres              [.] SPI_push_conditional                     
     0.00%  postgres  [kernel.kallsyms]     [k] __ext4_get_inode_loc                       [kernel.kallsyms]     [k] ext4_inode_table                         
     0.00%  postgres  [kernel.kallsyms]     [k] mpage_da_map_and_submit                    [kernel.kallsyms]     [k] mpage_da_submit_io                       
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_da_writepages                         [kernel.kallsyms]     [k] blk_finish_plug                          
     0.00%  postgres  postgres              [.] AfterTriggerBeginXact                      postgres              [.] MemoryContextAllocZero                   
     0.00%  postgres  postgres              [.] create_plan_recurse                        postgres              [.] make_result                              
     0.00%  postgres  [kernel.kallsyms]     [k] __getblk                                   [kernel.kallsyms]     [k] __find_get_block                         
     0.00%  postgres  [kernel.kallsyms]     [k] blk_queue_bio                              [kernel.kallsyms]     [k] init_request_from_bio                    
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_get_cmd_from_req                      [kernel.kallsyms]     [k] scsi_get_command                         
     0.00%  postgres  postgres              [.] printtup_shutdown                          postgres              [.] pfree                                    
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEarlyCommit_Snapshot                   
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] AtStart_GUC                              
     0.00%  postgres  postgres              [.] get_tabstat_stack_level                    postgres              [.] MemoryContextAlloc                       
     0.00%  postgres  postgres              [.] pgstat_report_stat                         postgres              [.] GetCurrentTransactionStopTimestamp       
     0.00%  postgres  [kernel.kallsyms]     [k] mpage_da_submit_io                         [kernel.kallsyms]     [k] pagevec_lookup                           
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_da_writepages                         [kernel.kallsyms]     [k] mpage_da_map_and_submit                  
     0.00%  postgres  [kernel.kallsyms]     [k] blk_dequeue_request                        [kernel.kallsyms]     [k] sched_clock                              
     0.00%  postgres  postgres              [.] heap_insert                                postgres              [.] XLogInsert                               
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] ExecutorStart                            
     0.00%  postgres  postgres              [.] PortalStart                                postgres              [.] CreateQueryDesc                          
     0.00%  postgres  postgres              [.] AtStart_Inval                              postgres              [.] GetCurrentTransactionNestLevel           
     0.00%  postgres  [kernel.kallsyms]     [k] vfs_write                                  [kernel.kallsyms]     [k] fsnotify                                 
     0.00%  postgres  [kernel.kallsyms]     [k] jbd2_journal_get_write_access              [kernel.kallsyms]     [k] jbd2_journal_add_journal_head            
     0.00%  postgres  postgres              [.] addRangeTableEntry                         postgres              [.] buildRelationAliases.isra.0              
     0.00%  postgres  postgres              [.] HeapTupleSatisfiesMVCC                     postgres              [.] HeapTupleHeaderGetCmin                   
     0.00%  postgres  postgres              [.] localsub.isra.2.constprop.6                postgres              [.] timesub.isra.1                           
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_sync_file                             [kernel.kallsyms]     [k] filemap_write_and_wait_range             
     0.00%  postgres  [kernel.kallsyms]     [k] drive_stat_acct                            [kernel.kallsyms]     [k] disk_map_sector_rcu                      
     0.00%  postgres  postgres              [.] printtup                                   postgres              [.] pq_sendint                               
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] AtEOXact_Inval                           
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] VirtualXactLockTableInsert               
     0.00%  postgres  postgres              [k] issue_xlog_fsync                           postgres              [k] pg_fdatasync                             
     0.00%  postgres  [kernel.kallsyms]     [k] mapping_tagged                             [kernel.kallsyms]     [k] radix_tree_tagged                        
     0.00%  postgres  [kernel.kallsyms]     [k] do_sys_poll                                [kernel.kallsyms]     [k] fget_light                               
     0.00%  postgres  [kernel.kallsyms]     [.] fsnotify                                   [kernel.kallsyms]     [.] __srcu_read_unlock                       
     0.00%  postgres  postgres              [.] PortalRunSelect                            postgres              [.] PushActiveSnapshot                       
     0.00%  postgres  [kernel.kallsyms]     [k] bit_waitqueue                              [kernel.kallsyms]     [k] __phys_addr                              
     0.00%  postgres  [kernel.kallsyms]     [k] filemap_write_and_wait_range               [kernel.kallsyms]     [k] __filemap_fdatawrite_range               
     0.00%  postgres  [kernel.kallsyms]     [k] fsnotify                                   [kernel.kallsyms]     [k] __srcu_read_lock                         
     0.00%  postgres  [kernel.kallsyms]     [k] ext4_da_writepages                         [kernel.kallsyms]     [k] tag_pages_for_writeback                  
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_get_command                           [kernel.kallsyms]     [k] __list_add                               
     0.00%  postgres  postgres              [.] fireRIRrules                               postgres              [.] rangeTableEntry_used                     
     0.00%  postgres  [kernel.kallsyms]     [k] irqtime_account_process_tick.isra.2        [kernel.kallsyms]     [k] account_user_time                        
     0.00%  postgres  [kernel.kallsyms]     [k] blk_finish_plug                            [kernel.kallsyms]     [k] blk_flush_plug_list                      
     0.00%  postgres  postgres              [.] GetNewTransactionId                        postgres              [.] ExtendCLOG                               
     0.00%  postgres  postgres              [.] coerce_type                                postgres              [.] getBaseTypeAndTypmod                     
     0.00%  postgres  [kernel.kallsyms]     [k] generic_file_aio_write                     [kernel.kallsyms]     [k] __generic_file_aio_write                 
     0.00%  postgres  [kernel.kallsyms]     [k] do_get_write_access                        [kernel.kallsyms]     [k] unlock_buffer                            
     0.00%  postgres  [kernel.kallsyms]     [k] get_request                                [kernel.kallsyms]     [k] mempool_alloc                            
     0.00%  postgres  [kernel.kallsyms]     [k] init_request_from_bio                      [kernel.kallsyms]     [k] blk_rq_bio_prep                          
     0.00%  postgres  postgres              [.] CommitTransaction                          postgres              [.] SyncRepWaitForLSN                        
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] AtStart_Inval                            
     0.00%  postgres  postgres              [.] transformStmt                              postgres              [.] transformWindowDefinitions               
     0.00%  postgres  postgres              [.] transformFromClause                        postgres              [.] bms_free                                 
     0.00%  postgres  postgres              [.] addRangeTableEntry                         postgres              [.] makeAlias                                
     0.00%  postgres  postgres              [.] ExecProject                                postgres              [.] ExecEvalFunc                             
     0.00%  postgres  [kernel.kallsyms]     [k] generic_file_aio_write                     [kernel.kallsyms]     [k] generic_write_sync                       
     0.00%  postgres  [kernel.kallsyms]     [k] __find_get_block                           [kernel.kallsyms]     [k] mark_page_accessed                       
     0.00%  postgres  postgres              [.] StartTransactionCommand                    postgres              [.] GetNextLocalTransactionId                
     0.00%  postgres  postgres              [.] transformStmt                              postgres              [.] transformSortClause                      
     0.00%  postgres  postgres              [.] PortalDrop                                 postgres              [.] PortalCleanup                            
     0.00%  postgres  [kernel.kallsyms]     [k] wake_up_bit                                [kernel.kallsyms]     [k] bit_waitqueue                            
     0.00%  postgres  [kernel.kallsyms]     [k] do_get_write_access                        [kernel.kallsyms]     [k] _cond_resched                            
     0.00%  postgres  postgres              [.] XLogWrite                                  postgres              [.] issue_xlog_fsync                         
     0.00%  postgres  postgres              [.] create_plan_recurse                        postgres              [.] order_qual_clauses                       
     0.00%  postgres  [kernel.kallsyms]     [k] __sb_end_write                             [kernel.kallsyms]     [k] __percpu_counter_add                     
     0.00%  postgres  [kernel.kallsyms]     [k] do_fsync                                   [kernel.kallsyms]     [k] fget_light                               
     0.00%  postgres  [kernel.kallsyms]     [k] __ext4_get_inode_loc                       [kernel.kallsyms]     [k] __getblk                                 
     0.00%  postgres  postgres              [.] PortalCleanup                              postgres              [.] __sigsetjmp@plt                          
     0.00%  postgres  postgres              [.] standard_ExecutorRun                       postgres              [.] printtup_shutdown                        
     0.00%  postgres  postgres              [.] ExecModifyTable                            postgres              [.] ExecASInsertTriggers                     
     0.00%  postgres  postgres              [.] ExecInitResult                             postgres              [.] ExecInitResultTupleSlot                  
     0.00%  postgres  [kernel.kallsyms]     [k] lookup_page_cgroup_used                    [kernel.kallsyms]     [k] lookup_page_cgroup                       
     0.00%  postgres  [kernel.kallsyms]     [k] __split_and_process_bio                    [kernel.kallsyms]     [k] alloc_tio.isra.15                        
     0.00%  postgres  postgres              [.] heap_insert                                postgres              [.] MarkBufferDirty                          
     0.00%  postgres  postgres              [.] RelationGetBufferForTuple                  postgres              [.] LockBuffer                               
     0.00%  postgres  postgres              [.] ExecInitResult                             postgres              [.] ExecAssignProjectionInfo                 
     0.00%  postgres  postgres              [.] make_result                                postgres              [.] MemoryContextAllocZeroAligned            
     0.00%  postgres  [kernel.kallsyms]     [k] __generic_file_aio_write                   [kernel.kallsyms]     [k] generic_file_buffered_write              
     0.00%  postgres  [kernel.kallsyms]     [k] generic_file_aio_write                     [kernel.kallsyms]     [k] mutex_unlock                             
     0.00%  postgres  [kernel.kallsyms]     [k] scsi_get_command                           [kernel.kallsyms]     [k] get_device                               
     0.00%  postgres  [kernel.kallsyms]     [k] system_call                                [kernel.kallsyms]     [k] sys_fdatasync                            
     0.00%  postgres  postgres              [.] SendRowDescriptionMessage                  postgres              [.] pq_endmessage                            
     0.00%  postgres  postgres              [.] rangeTableEntry_used                       postgres              [.] query_or_expression_tree_walker          
     0.00%  postgres  postgres              [.] PortalRun                                  postgres              [.] __snprintf_chk@plt                       
     0.00%  postgres  [kernel.kallsyms]     [k] call_timer_fn                              [kernel.kallsyms]     [k] delayed_work_timer_fn                    
     0.00%  postgres  [kernel.kallsyms]     [k] run_timer_softirq                          [kernel.kallsyms]     [k] _raw_spin_lock                           
     0.00%  postgres  [kernel.kallsyms]     [.] mempool_free_slab                          [kernel.kallsyms]     [.] kmem_cache_free                          
